N,Rows,nnz,Precond,Status,Time_ms,Peak_MB,Peak_GB,N_allocs
100,10000,50000,BJ1,OK,23.4,0.5,0.001,20
100,10000,50000,BJ2,OK,29.3,1.2,0.001,28
100,10000,50000,ILU,OK,87.5,3.1,0.003,44
100,10000,50000,ICT,OK,914.3,26.9,0.026,140
100,10000,50000,ISAI,OK,22.8,1.7,0.002,32
500,250000,1250000,BJ1,OK,46.4,13.4,0.013,20
500,250000,1250000,BJ2,OK,146.6,29.8,0.029,28
500,250000,1250000,ILU,OK,1339.9,77.2,0.075,44
500,250000,1250000,ICT,OK,7760.4,679.4,0.663,122
500,250000,1250000,ISAI,OK,80.2,42.0,0.041,32
1000,1000000,5000000,BJ1,OK,68.4,53.4,0.052,20
1000,1000000,5000000,BJ2,OK,453.1,119.2,0.116,28
1000,1000000,5000000,ILU,OK,2805.7,308.9,0.302,44
1000,1000000,5000000,ICT,OK,17622.4,2712.5,2.649,122
1000,1000000,5000000,ISAI,OK,195.3,167.9,0.164,32
2000,4000000,20000000,BJ1,OK,186.0,213.6,0.209,20
2000,4000000,20000000,BJ2,OK,1729.4,476.8,0.466,28
2000,4000000,20000000,ILU,OK,6490.9,1235.8,1.207,44
2000,4000000,20000000,ICT,OK,40392.6,10890.6,10.635,125
2000,4000000,20000000,ISAI,OK,677.1,671.4,0.656,32
3000,9000000,45000000,BJ1,OK,385.0,480.7,0.469,20
3000,9000000,45000000,BJ2,OK,3903.3,1073.0,1.048,28
3000,9000000,45000000,ILU,OK,12202.5,2780.9,2.716,44
3000,9000000,45000000,ICT,INT32_OVF,2365.3,16683.6,16.293,77
3000,9000000,45000000,ISAI,OK,1556.7,1511.0,1.476,32
4000,16000000,80000000,BJ1,OK,673.9,854.5,0.834,20
4000,16000000,80000000,BJ2,OK,6996.7,1907.4,1.863,28
4000,16000000,80000000,ILU,OK,19679.5,4943.9,4.828,44
4000,16000000,80000000,ICT,INT32_OVF,5267.4,29633.7,28.939,78
4000,16000000,80000000,ISAI,OK,2871.6,2685.9,2.623,32
5000,25000000,125000000,BJ1,OK,1023.7,1335.1,1.304,20
5000,25000000,125000000,BJ2,OK,10910.4,2980.3,2.910,28
5000,25000000,125000000,ILU,OK,29929.5,7724.9,7.544,44
5000,25000000,125000000,ICT,INT32_OVF,7290.6,30592.5,29.876,61
5000,25000000,125000000,ISAI,OK,4711.5,4196.6,4.098,32
6000,36000000,180000000,BJ1,OK,1447.6,1922.6,1.878,20
6000,36000000,180000000,BJ2,OK,15631.4,4291.5,4.191,28
6000,36000000,180000000,ILU,OK,42977.9,11123.9,10.863,44
6000,36000000,180000000,ICT,INT32_OVF,3968.6,12911.3,12.609,28
6000,36000000,180000000,ISAI,OK,7254.2,6043.0,5.901,32
